,nops_mean_on_50,nops_err_on_50,nops_mean_off_50,nops_err_off_50,turn_mean_on_50,turn_err_on_50,turn_mean_off_50,turn_err_off_50,go_mean_on_50,go_err_on_50,go_mean_off_50,go_err_off_50,nops_mean_on_300,nops_err_on_300,nops_mean_off_300,nops_err_off_300,turn_mean_on_300,turn_err_on_300,turn_mean_off_300,turn_err_off_300,go_mean_on_300,go_err_on_300,go_mean_off_300,go_err_off_300
0,168.2025,0.0265082595091,144.0325,0.0205229830885,201.8325,0.0392244790448,231.106666667,0.030806607997,141.965,0.0208222245017,136.860833333,0.0114713535695,161.741805556,0.00446076750828,144.064305556,0.003593786752,205.645972222,0.00643534187469,230.510694444,0.00553385441722,144.612222222,0.00307009159419,137.425,0.00209411458161
1,178.166666667,0.0241094618874,139.8175,0.0166201740801,181.723333333,0.033944315945,236.949166667,0.0227746031645,152.11,0.0243814480828,135.233333333,0.00729579172262,170.77125,0.00388405565251,147.004861111,0.00417774311675,191.83875,0.00516904741754,227.03375,0.00546021523919,149.39,0.00287435842669,137.961388889,0.0015734756526
2,180.263333333,0.0250547741371,140.076666667,0.0168666786563,178.004166667,0.0336256222261,236.6825,0.0229612652965,153.7325,0.0289801892355,135.240833333,0.00734161838942,169.324444444,0.00373095446042,146.290555556,0.00384831460408,192.908472222,0.00534863691378,227.746666667,0.00510969172064,149.767083333,0.00328159355598,137.962777778,0.00156336407355
3,179.7475,0.0277593891468,138.208333333,0.0164410107752,171.564166667,0.0338271283825,238.6375,0.0232012211635,160.688333333,0.0374086484914,135.154166667,0.00833937772156,169.495555556,0.00375986993179,144.897638889,0.00355810637796,191.577777778,0.00543828467224,229.312777778,0.00490346497773,150.926666667,0.0037240714457,137.789583333,0.00170774314301
4,176.47,0.0290551927236,136.700833333,0.0123592612707,167.090833333,0.036421084612,240.6125,0.0184914407489,168.439166667,0.0416811136373,134.686666667,0.00685825397064,170.284583333,0.00374738349948,145.798333333,0.00364719386029,187.858611111,0.0054948849876,227.60625,0.00497749009732,153.856805556,0.00413784341868,138.595416667,0.00172790191414
5,173.291666667,0.0322875719791,138.589166667,0.012365714784,165.75,0.0379354107923,237.936666667,0.0205542315016,172.958333333,0.0471072547041,135.474166667,0.00885033488699,169.523888889,0.00375969235803,146.078055556,0.00357293696407,186.486666667,0.00547422237108,227.299583333,0.00495807951983,155.989444444,0.00451867491923,138.622361111,0.00188913071288
6,172.151666667,0.0328300393483,138.488333333,0.0130565006711,163.393333333,0.0384464419507,237.625,0.0204251296921,176.455,0.0488833022856,135.886666667,0.00836896140953,169.31125,0.00368984209592,145.879861111,0.00359742665393,185.720833333,0.00552847433363,227.175833333,0.00505409549322,156.967916667,0.00462566467374,138.944305556,0.0018468863855
7,173.8575,0.0336812888593,139.07,0.0139543221646,160.568333333,0.0386178720121,236.735,0.0220147000635,177.574166667,0.0501281225211,136.195,0.00988423253843,169.708472222,0.00376489614144,146.184861111,0.00353484996512,184.653194444,0.0055772629122,226.526666667,0.00508284576988,157.638333333,0.0048180484848,139.288472222,0.00189332625145
8,171.401666667,0.0361738481628,139.013333333,0.0154520814897,159.555833333,0.0385412915766,236.8225,0.0249445706141,181.0425,0.0537218228636,136.164166667,0.0100122650139,169.639444444,0.00386719053011,146.744722222,0.00362557260372,184.131666667,0.00568402359278,225.419722222,0.00527622542561,158.228888889,0.00496072050901,139.835555556,0.00201470480428
9,169.899166667,0.0390589123986,138.556666667,0.0147697264431,158.540833333,0.0390036973036,238.8575,0.0218224204406,183.56,0.0560654325887,134.585833333,0.00844489732842,169.751111111,0.00413180336206,147.723055556,0.00380542096668,182.918055556,0.00578333261498,224.764861111,0.00538014273135,159.330833333,0.00523507240998,139.512083333,0.0018980038245
10,167.474166667,0.0418079332206,138.595,0.0138685854557,153.779166667,0.0367119094143,238.519166667,0.0217760615421,190.746666667,0.0604984229626,134.885833333,0.00872699719607,168.755416667,0.00424148537226,147.204861111,0.00362466471415,182.596527778,0.00582513386309,225.357777778,0.00518340798834,160.648055556,0.00566682874595,139.437361111,0.00192111022516
11,169.495833333,0.043574496261,139.765,0.0183594987807,148.825,0.0370825883319,237.635833333,0.0239179864976,193.679166667,0.060546271275,134.599166667,0.00757799543089,169.673888889,0.00424579653596,147.744444444,0.00378632424659,181.449166667,0.00591477137294,224.911666667,0.0053110699351,160.876944444,0.00562612722756,139.343888889,0.00184088365459
12,165.916666667,0.0450376495343,138.159166667,0.0149735134609,149.129166667,0.0385691624975,240.121666667,0.0205734910316,196.954166667,0.0626010009193,133.719166667,0.00715832059499,168.505972222,0.00429499633446,146.576944444,0.00363049210332,181.486388889,0.0059911527149,225.931388889,0.00522521451961,162.007638889,0.00586567174928,139.491666667,0.00191240220356
13,162.0075,0.0453773442845,139.855,0.0159709457209,148.053333333,0.0375339767444,237.111666667,0.0229341671039,201.939166667,0.0633408586555,135.033333333,0.0084327276798,168.189166667,0.00449578433546,147.750277778,0.00385325124316,180.469861111,0.00610343479416,224.449166667,0.00541658762475,163.340972222,0.00613292272996,139.800555556,0.00201526480335
14,163.0825,0.0428772411198,137.69,0.0160572930475,146.48,0.0357706666458,239.845833333,0.0226612548866,202.4375,0.0606333572291,134.464166667,0.00808936189133,167.729027778,0.00428914087207,147.987777778,0.00400481531254,181.08,0.00605891313295,224.7375,0.00548397183697,163.190972222,0.00592920456092,139.274722222,0.00190341207435
15,164.954166667,0.0461564535326,139.191666667,0.0178326036125,146.329166667,0.0373633357826,239.150833333,0.0237427908193,200.716666667,0.0629982791982,133.6575,0.00691103259401,167.415277778,0.0043838879015,146.834583333,0.00381916013,181.504583333,0.00607294828913,225.919166667,0.00538345055304,163.080138889,0.0059734331779,139.24625,0.0019245362459
16,165.394166667,0.0452216515782,139.9075,0.0171762453698,144.41,0.0360058932479,238.02,0.0238857481986,202.195833333,0.0633427665244,134.0725,0.00791987901249,167.937777778,0.00439784420191,147.624722222,0.00391500292115,180.490833333,0.00623640244465,224.835277778,0.00547569870168,163.571388889,0.0060720382964,139.54,0.00200239532407
17,162.1075,0.0453551923292,137.883333333,0.0155997966493,147.505833333,0.0368253574004,239.881666667,0.0228052808314,202.386666667,0.0639427379137,134.235,0.00803371850513,167.59625,0.00449195477292,146.807361111,0.0039628259998,180.674861111,0.00617542918528,225.468333333,0.00554603988282,163.728888889,0.00606098872702,139.724305556,0.00205831465941
18,163.44,0.0466141043513,138.641666667,0.0178421474916,143.6775,0.0365599796293,239.6225,0.023915709195,204.8825,0.0654252161317,133.735833333,0.00804251608692,167.657083333,0.00458460444716,146.854861111,0.00405037330385,179.741111111,0.00634443782242,225.578472222,0.00566544189443,164.601805556,0.0062447573328,139.566666667,0.00213236429023
19,159.025833333,0.0489736755384,138.296666667,0.0188445396251,142.149166667,0.0364606097074,240.97,0.024703586103,210.825,0.0670400891592,132.733333333,0.00713862625386,167.404166667,0.00469835644465,146.351111111,0.00404646317827,179.815833333,0.00644526673474,226.39625,0.00568526345861,164.78,0.00645427473685,139.252638889,0.00219380769951
20,159.001666667,0.0479646886787,139.099166667,0.0192735095024,138.553333333,0.0331891545265,239.228333333,0.0255796982686,214.445,0.0659052610766,133.6725,0.00738402167818,166.943472222,0.00462696200281,146.740694444,0.00405874726219,178.219861111,0.00624924459069,225.895416667,0.00567624650775,166.836666667,0.00648266107743,139.363888889,0.00211621825797
21,156.21,0.048148610611,139.71,0.0194378379129,138.235833333,0.0326380244766,238.175833333,0.0264929269362,217.554166667,0.0664306436513,134.114166667,0.00749368838241,165.88,0.00465134650694,146.118194444,0.00396568213244,179.209027778,0.00640455626728,226.344583333,0.00566488094736,166.910972222,0.00666283225794,139.537222222,0.00232736579878
22,156.564166667,0.049924163893,139.396666667,0.0189879218492,137.496666667,0.0347202204591,239.141666667,0.0247652403564,217.939166667,0.069045598105,133.461666667,0.00682755374261,166.478472222,0.00474001116733,146.2825,0.00390246584559,178.608472222,0.0064561736475,226.280138889,0.00560405535549,166.913055556,0.00677343299283,139.437361111,0.00219840599895
23,154.2975,0.0523014502877,137.555,0.0185712022827,136.715,0.0330429489026,240.969166667,0.0234866363108,220.9875,0.0709776121286,133.475833333,0.00706405975223,166.561944444,0.0048970061201,145.664027778,0.00384371601335,177.965,0.00644603359567,226.859166667,0.00562902362678,167.473055556,0.00692758268901,139.476805556,0.00225822071163
24,153.541666667,0.0497992209857,138.644166667,0.0176804668225,137.191666667,0.0339798956308,239.859166667,0.0239595960614,221.266666667,0.0690685456917,133.496666667,0.00702754737921,165.479166667,0.00489174631415,145.66875,0.00384000391422,178.032222222,0.0064379890143,226.631527778,0.00561176105286,168.488611111,0.00690057139579,139.699722222,0.00225495819633
25,149.546666667,0.0509733846961,138.076666667,0.0167166723725,137.874166667,0.0350954033085,239.594166667,0.0236668496501,224.579166667,0.0699487439172,134.329166667,0.00846415919991,165.256388889,0.0048871146198,144.667361111,0.00386636577655,177.582361111,0.00645116746191,227.319027778,0.00565591401856,169.16125,0.00701922272536,140.013611111,0.00256263793806
26,146.178333333,0.052120400494,138.579166667,0.0186053410919,133.1275,0.0355369694584,239.321666667,0.0256320345003,232.694166667,0.0730675855882,134.099166667,0.00786838536474,164.193055556,0.00490719359861,145.782916667,0.00385584855613,177.806805556,0.00655520278245,226.7025,0.00563935124924,170.000138889,0.00740740152855,139.514583333,0.00223677423933
27,147.900833333,0.0512421572583,139.204166667,0.0204594939725,133.335,0.0349884832017,239.745833333,0.0266309554667,230.764166667,0.0710693759787,133.05,0.00748122526538,164.656944444,0.00490553040289,145.366111111,0.00393637552223,177.545138889,0.00652548936112,226.729583333,0.00573218028411,169.797916667,0.00721140787402,139.904305556,0.00245601468276
28,141.64,0.0543690152643,138.8975,0.0210729330551,133.163333333,0.0335624246332,239.151666667,0.027113474075,237.196666667,0.0743429419219,133.950833333,0.0068754506763,163.704444444,0.00508722958167,145.292777778,0.00383814791589,177.190416667,0.00651363094852,226.469027778,0.00571567961237,171.105138889,0.00759065162998,140.238194444,0.00247428597086
29,138.775,0.0557444070768,139.045,0.0204168914207,131.879166667,0.0331265021972,239.125,0.0278014058266,241.345833333,0.0747872706502,133.83,0.00936872302209,163.280555556,0.00528668492007,145.21,0.00382873193901,176.631805556,0.00650157040211,226.557638889,0.00579060050068,172.087638889,0.00777039488965,140.232361111,0.00248663663173
30,139.939166667,0.0552965297116,139.198333333,0.0211296242576,131.065,0.0342013570248,239.3625,0.0270554684989,240.995833333,0.0755445836477,133.439166667,0.00699704727206,163.441805556,0.00521408241215,145.3225,0.00385856767366,176.870833333,0.00662134816899,226.534166667,0.00573422265416,171.687361111,0.00785052352086,140.143333333,0.00247428693377
